provision_id,provision_uri,legislation_id,legislation_title,section_type,schedule_number,schedule_title,part_number,part_title,chapter_number,chapter_title,class_block,sub_block,provision_number,provision_level,parent_provision_id,text,status,restrict_start_date,restrict_end_date,restrict_extent
article-2-6,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/6,uksi/2015/596,GPDO 2015,body,,,,,,,,,6,P2,article-2,"Paragraphs (7) to (11) apply where an electronic communication is used by a person for the purpose of fulfilling any requirement in this Order or in any Schedule to this Order to give or send any statement, notice or other document to any other person (“ the recipient ”).",valid,,,
article-2-7,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/7,uksi/2015/596,GPDO 2015,body,,,,,,,,,7,P2,article-2,The requirement referred to in paragraph (6) is taken to be fulfilled where the notice or other document transmitted by means of the electronic communication is—,valid,,,
article-2-7-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/7/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-2-7,"capable of being accessed by the recipient,",valid,,,
article-2-7-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/7/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-2-7,"legible in all material respects, and",valid,,,
article-2-7-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/7/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-2-7,sufficiently permanent to be used for subsequent reference.,valid,,,
article-2-8,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/8,uksi/2015/596,GPDO 2015,body,,,,,,,,,8,P2,article-2,"In paragraph (7),  “ legible in all material respects ” means that the information contained in the notice or document is available to the recipient to no lesser extent than it would be if sent or given by means of a document in printed form.",valid,,,
article-2-9,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/9,uksi/2015/596,GPDO 2015,body,,,,,,,,,9,P2,article-2,"Where the electronic communication is received by the recipient outside the recipient’s business hours, it is taken to have been received on the next working day; and for this purpose “working day” means a day which is not a Saturday, Sunday or public holiday.",valid,,,
article-2-10,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/10,uksi/2015/596,GPDO 2015,body,,,,,,,,,10,P2,article-2,"A requirement in this Order or in any Schedule to this Order that any document should be in writing is fulfilled where that document meets the criteria in paragraph (7), and  “written” and related expressions are to be construed accordingly.",valid,,,
article-2-11,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/11,uksi/2015/596,GPDO 2015,body,,,,,,,,,11,P2,article-2,"References in this Order or in any Schedule to this Order to plans, drawings, notices or other documents, or to copies of such documents, include references to such documents or copies of them in electronic form.",valid,,,
article-2-12,http://www.legislation.gov.uk/id/uksi/2015/596/article/2/12,uksi/2015/596,GPDO 2015,body,,,,,,,,,12,P2,article-2,"For the purposes of this Order, development carried out by or on behalf of any person in whom control of accommodation in any part of the Palace of Westminster or its precincts is vested is treated (so far as it would not otherwise be treated) as development by or on behalf of the Crown.",valid,,,
article-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P1,,,valid,,,
article-3-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-3,"Subject to the provisions of this Order and regulations 75 to 78 of the Conservation of Habitats and Species Regulations 2017 (general development orders), planning permission is hereby granted for the classes of development described as permitted development in Schedule 2.",valid,,,
article-3-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-3,"Any permission granted by paragraph (1) is subject to any relevant exception, limitation or condition specified in Schedule 2.",valid,,,
article-3-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-3,"References in this Order to permission granted by Schedule 2 or by any Part, Class or paragraph of that Schedule are references to the permission granted by this article in relation to development described in that Schedule or that provision of that Schedule.",valid,,,
article-3-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P2,article-3,Nothing in this Order permits development contrary to any condition imposed by any planning permission granted or deemed to be granted under Part 3 or Part 13 of the Act otherwise than by this Order.,valid,,,
article-3-5,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/5,uksi/2015/596,GPDO 2015,body,,,,,,,,,5,P2,article-3,The permission granted by Schedule 2 does not apply if—,valid,,,
article-3-5-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/5/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-5,"in the case of permission granted in connection with an existing building, the building operations involved in the construction of that building are unlawful;",valid,,,
article-3-5-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/5/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-5,"in the case of permission granted in connection with an existing use, that use is unlawful.",valid,,,
article-3-6,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/6,uksi/2015/596,GPDO 2015,body,,,,,,,,,6,P2,article-3,"The permission granted by Schedule 2 does not, except in relation to development permitted by Classes A, B, D and E of Part 9 and Class A of Part 18 of that Schedule, authorise any development which requires or involves the formation, laying out or material widening of a means of access to an existing highway which is a trunk road or classified road, or creates an obstruction to the view of persons using any highway used by vehicular traffic, so as to be likely to cause danger to such persons.",valid,,,
article-3-7,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/7,uksi/2015/596,GPDO 2015,body,,,,,,,,,7,P2,article-3,"Any development falling within Class A of Part 18 of Schedule 2 authorised by an Act or order subject to the grant of any consent or approval is not to be treated for the purposes of this Order as authorised unless and until that consent or approval is obtained, except where the Act was passed or the order made after 1st July 1948 and it contains provision to the contrary.",valid,,,
article-3-8,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/8,uksi/2015/596,GPDO 2015,body,,,,,,,,,8,P2,article-3,"Schedule 2 does not grant permission for the laying or construction of a notifiable pipe-line, except in the case of the laying or construction of a notifiable pipe-line by a gas transporter in accordance with Class A of Part 15 of that Schedule.",valid,,,
article-3-9,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/9,uksi/2015/596,GPDO 2015,body,,,,,,,,,9,P2,article-3,"Except as provided in Classes B and C of Part 11, Schedule 2 does not permit any development which requires or involves the demolition of a building, but in this paragraph  “ building ” does not include part of a building.",valid,,,
article-3-9A,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/9A,uksi/2015/596,GPDO 2015,body,,,,,,,,,9A,P2,article-3,"Schedule 2 does not grant permission for, or authorise any development of, any new dwellinghouse—",valid,,,
article-3-9A-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/9A/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-9A,where the gross internal floor area is less than 37 square metres in size; or,valid,,,
article-3-9A-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/9A/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-9A,that does not comply with the nationally described space standard issued by the Department for Communities and Local Government on 27th March 2015.,valid,,,
article-3-9B,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/9B,uksi/2015/596,GPDO 2015,body,,,,,,,,,9B,P2,article-3,The reference in paragraph (9A) to the nationally described space standard is to that standard read together with the notes dated 19th May 2016 which apply to it.,valid,,,
article-3-10,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/10,uksi/2015/596,GPDO 2015,body,,,,,,,,,10,P2,article-3,"Subject to paragraph (12), Schedule 1 development or Schedule 2 development within the meaning of the Town and Country Planning (Environmental Impact Assessment) Regulations 2017 (“ the EIA Regulations ”) is not permitted by this Order unless—",valid,2021-02-11,,
article-3-10-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/10/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-10,the local planning authority has adopted a screening opinion under regulation 6 of those Regulations that the development is not EIA development within the meaning of those Regulations ;,valid,,,
article-3-10-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/10/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-10,the Secretary of State has made a screening direction under regulation 5(3) of those Regulations that the development is not EIA development within the meaning of those Regulations ; or,valid,,,
article-3-10-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/10/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-3-10,the Secretary of State has given a direction under regulation 63(1) of those Regulations that the development is exempted from the application of those Regulations.,valid,,,
article-3-11,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/11,uksi/2015/596,GPDO 2015,body,,,,,,,,,11,P2,article-3,"Where— that development is treated, for the purposes of paragraph (10), as development which is not permitted by this Order.",valid,,,
article-3-11-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/11/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-11,the local planning authority has adopted a screening opinion under regulation 6 of the EIA Regulations that development is EIA development within the meaning of those Regulations and the Secretary of State has in relation to that development neither made a screening direction to the contrary under regulation 5(3) of those Regulations nor directed under regulation 63(1) of those Regulations that the development is exempted from the application of those Regulations; or,valid,,,
article-3-11-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/11/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-11,"the Secretary of State has directed that development is EIA development within the meaning of those Regulations ,",valid,,,
article-3-12,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12,uksi/2015/596,GPDO 2015,body,,,,,,,,,12,P2,article-3,Paragraph (10) does not apply to—,valid,,,
article-3-12-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-12,"development which consists of the carrying out by a drainage body, within the meaning of the Land Drainage Act 1991 , of improvement works within the meaning of the Environmental Impact Assessment (Land Drainage Improvement Works) Regulations 1999 ;",valid,,,
article-3-12-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-12,"development for which permission is granted by Class E of Part 6, Class K of Part 7, Class B of Part 12, Class A(a) of Part 15, Class D, E or I of Part 17 or Class A of Part 18 of Schedule 2;",valid,,,
article-3-12-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-3-12,"development for which permission is granted by Class F, H or K of Part 17 of Schedule 2 where the land in, on or under which the development is to be carried out is— as that in, on or under which development of any description permitted by the same Class has been carried out before 14th March 1999;",valid,,,
article-3-12-c-i,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/c/i,uksi/2015/596,GPDO 2015,body,,,,,,,,,i,P4,article-3-12-c,"i in the case of Class F of Part 17, on the same authorised site,",valid,,,
article-3-12-c-ii,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/c/ii,uksi/2015/596,GPDO 2015,body,,,,,,,,,ii,P4,article-3-12-c,"ii in the case of Class H of Part 17, on the same premises or, as the case may be, the same ancillary mining land,",valid,,,
article-3-12-c-iii,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/c/iii,uksi/2015/596,GPDO 2015,body,,,,,,,,,iii,P4,article-3-12-c,"iii in the case of Class K of Part 17, on the same land or, as the case may be, on land adjoining that land,",valid,,,
article-3-12-d,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/d,uksi/2015/596,GPDO 2015,body,,,,,,,,,d,P3,article-3-12,the completion of any development begun before 14th March 1999;,valid,,,
article-3-12-e,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/12/e,uksi/2015/596,GPDO 2015,body,,,,,,,,,e,P3,article-3-12,development for which permission is granted by Class B of Part 9 of Schedule 2.,valid,,,
article-3-13,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/13,uksi/2015/596,GPDO 2015,body,,,,,,,,,13,P2,article-3,"Where a person uses electronic communications for making any application required to be made under any of Part of Schedule 2, that person is taken to have agreed—",valid,,,
article-3-13-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/13/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-3-13,to the use of electronic communications for all purposes relating to that person's application which are capable of being effected using such communications;,valid,,,
article-3-13-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/13/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-3-13,"that the address for the purpose of such communications is the address incorporated into, or otherwise logically associated with, that person's application; and",valid,,,
article-3-13-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/3/13/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-3-13,that the deemed agreement under this paragraph subsists until that person gives notice in writing revoking the agreement (and such revocation is final and takes effect on a date specified by the person but not less than 7 days after the date on which the notice is given).,valid,,,
article-4,http://www.legislation.gov.uk/id/uksi/2015/596/article/4,uksi/2015/596,GPDO 2015,body,,,,,,,,,4,P1,,and the direction must specify that it is made under this paragraph.,valid,,,
article-4-1,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/1,uksi/2015/596,GPDO 2015,body,,,,,,,,,1,P2,article-4,"If the Secretary of State or the local planning authority is satisfied that it is expedient that development described in any Part, Class or paragraph in Schedule 2, other than Class DA of Part 4 or Class K , KA or M of Part 17, should not be carried out unless permission is granted for it on an application, the Secretary of State or (as the case may be) the local planning authority, may make a direction under this paragraph that the permission granted by article 3 does not apply to—",valid,,,
article-4-1-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/1/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-4-1,"all or any development of the Part, Class or paragraph in question in an area specified in the direction; or",valid,,,
article-4-1-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/1/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-4-1,"any particular development, falling within that Part, Class or paragraph, which is specified in the direction,",valid,,,
article-4-2,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2,uksi/2015/596,GPDO 2015,body,,,,,,,,,2,P2,article-4,A direction under paragraph (1) does not affect the carrying out of—,valid,,,
article-4-2-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-4-2,"development permitted by any Class in Schedule 2 which is expressed to be subject to prior approval where, in relation to that development, the prior approval date occurs before the date on which the direction comes into force and the development is completed within a period of 3 years starting with the prior approval date;",valid,,,
article-4-2-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-4-2,development permitted by Class B of Part 9 of Schedule 2;,valid,,,
article-4-2-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-4-2,"development mentioned in Class A of Part 16 of Schedule 2, unless the direction specifically so provides;",valid,,,
article-4-2-d,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/d,uksi/2015/596,GPDO 2015,body,,,,,,,,,d,P3,article-4-2,development permitted by Class A of Part 18 of Schedule 2 authorised by an Act passed after 1st July 1948 or by an order requiring the approval of both Houses of Parliament approved after that date;,valid,,,
article-4-2-e,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/e,uksi/2015/596,GPDO 2015,body,,,,,,,,,e,P3,article-4-2,"development permitted by Class Q, R, S or T of Part 19 of Schedule 2;",valid,,,
article-4-2-f,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/2/f,uksi/2015/596,GPDO 2015,body,,,,,,,,,f,P3,article-4-2,development permitted under Schedule 2 in an emergency.,valid,,,
article-4-3,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3,uksi/2015/596,GPDO 2015,body,,,,,,,,,3,P2,article-4,"A direction made or having effect as if made under this article does not, unless the direction so provides, affect the carrying out by a statutory undertaker of the following descriptions of development—",valid,,,
article-4-3-a,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/a,uksi/2015/596,GPDO 2015,body,,,,,,,,,a,P3,article-4-3,"the maintenance of bridges, buildings and railway stations;",valid,,,
article-4-3-b,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/b,uksi/2015/596,GPDO 2015,body,,,,,,,,,b,P3,article-4-3,"the alteration and maintenance of railway track, and the provision and maintenance of track equipment, including signal boxes, signalling apparatus and other appliances and works required in connection with the movement of traffic by rail;",valid,,,
article-4-3-c,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/c,uksi/2015/596,GPDO 2015,body,,,,,,,,,c,P3,article-4-3,"the maintenance of docks, harbours, quays, wharves, canals and towing paths;",valid,,,
article-4-3-d,http://www.legislation.gov.uk/id/uksi/2015/596/article/4/3/d,uksi/2015/596,GPDO 2015,body,,,,,,,,,d,P3,article-4-3,"the provision and maintenance of mechanical apparatus or appliances (including signalling equipment) required for the purposes of shipping or in connection with the embarking, disembarking, loading, discharging or transport of passengers, livestock or goods at a dock, quay, harbour, bank, wharf or basin;",valid,,,
